"","ATB_PositiveExposure.1","ATB_PositiveExposure.2","ATB_PositiveExposure.3","ATB_PositiveExposure.4","ATB_PositiveExposure.5","ATB_PositiveExposure.6","ATB_PositiveExposure.7","ATB_PositiveExposure.8","ATB_PositiveExposure.9","ATB_PositiveExposure.10","ATB_NegativeExposure.1","ATB_NegativeExposure.2","ATB_NegativeExposure.3","ATB_NegativeExposure.4","ATB_NegativeExposure.5","ATB_NegativeExposure.6","ATB_NegativeExposure.7","ATB_NegativeExposure.8","ATB_Trade.Offs.1","ATB_Trade.Offs.2","ATB_Trade.Offs.3","ATB_Trade.Offs.4","ATB_Trade.Offs.5","ATB_Trade.Offs.6","ATB_Nurturance.1","ATB_Nurturance.2","ATB_Nurturance.3","ATB_Nurturance.4","ATB_Nurturance.5","ATB_Nurturance.6","ATB_FemaleRoleBeliefs.1","ATB_FemaleRoleBeliefs.2","ATB_FemaleRoleBeliefs.3","ATB_FemaleRoleBeliefs.4","ABS_total_mean","ABS_total_sd","ABS_PositiveExp_mean","ABS_PositiveExp_sd","ABS_NegativeExp_mean","ABS_NegativeExp_sd","ABS_TradeOffs_mean","ABS_TradeOffs_sd","ABS_Nurturance_mean","ABS_Nurturance_sd","ABS_RoleBelief_mean","ABS_RoleBelief_sd"
"1",4,5,5,3,2,4,2,2,4,5,2,1,1,1,1,1,1,1,2,3,4,4,2,2,3,2,5,3,5,4,2,4,1,1,2.70588235294118,1.44661384692094,3.6,1.26491106406735,1.125,0.353553390593274,2.83333333333333,0.983192080250175,3.66666666666667,1.211060141639,2,1.4142135623731
"2",4,3,3,3,3,3,2,3,3,3,1,1,2,2,2,2,3,2,1,2,2,4,3,3,3,4,5,2,4,2,1,1,1,1,2.47058823529412,1.05127034604019,3,0.471404520791032,1.875,0.640869944461656,2.5,1.04880884817015,3.33333333333333,1.211060141639,1,0
"3",4,4,3,3,2,2,1,1,3,2,3,2,2,3,2,2,1,2,2,5,3,4,1,3,5,3,4,2,4,4,1,1,2,1,2.55882352941176,1.18554875340591,2.5,1.08012344973464,2.125,0.640869944461656,3,1.4142135623731,3.66666666666667,1.03279555898864,1.25,0.5
"4",4,3,2,4,4,4,2,1,3,4,3,2,2,3,2,3,2,2,3,4,2,4,3,2,3,4,4,3,3,3,1,1,1,1,2.70588235294118,1.03072236407306,3.1,1.10050493461461,2.375,0.517549169506766,3,0.894427190999916,3.33333333333333,0.516397779494322,1,0
"5",1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,5,3,5,5,5,5,5,3,4,4,2,3,3,1,1,1,1,2.70588235294118,1.60547192655364,1,0,3.875,0.640869944461656,4.66666666666667,0.816496580927726,3.16666666666667,0.752772652709081,1,0
"6",2,2,3,4,4,3,3,1,3,4,4,2,3,4,5,5,2,3,2,4,3,4,1,4,4,5,5,2,4,5,1,1,1,1,3.05882352941176,1.3470771157559,2.9,0.994428926011753,3.5,1.19522860933439,3,1.26491106406735,4.16666666666667,1.16904519445001,1,0
"7",5,4,4,5,4,4,4,4,4,4,3,1,1,1,4,2,1,1,1,1,2,2,1,1,5,3,5,3,5,2,5,1,1,3,2.85294117647059,1.55957167665252,4.2,0.421637021355784,1.75,1.16496474502144,1.33333333333333,0.516397779494322,3.83333333333333,1.32916013582513,2.5,1.91485421551268
"8",1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,4,5,5,5,5,5,5,5,5,3,1,4,2,4,4,1,1,1,1,2.85294117647059,1.87701169562841,1,0,4.375,1.40788595317336,5,0,3,1.26491106406735,1,0
"9",5,5,5,5,4,5,5,5,4,5,3,1,1,1,4,4,1,1,3,1,1,4,4,3,3,5,5,4,5,5,2,1,1,1,3.29411764705882,1.67927494752233,4.8,0.421637021355784,2,1.4142135623731,2.66666666666667,1.36626010212795,4.5,0.836660026534076,1.25,0.5
"10",4,3,3,4,4,4,3,3,3,3,4,2,3,3,3,4,4,2,5,5,5,4,4,4,3,3,5,2,4,4,1,1,1,1,3.26470588235294,1.16277681042986,3.4,0.516397779494322,3.125,0.83452296039628,4.5,0.547722557505166,3.5,1.04880884817015,1,0
