"Event.Index","UTC.Timestamp","UTC.Date","Local.Timestamp","Local.Timezone","Local.Date","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Task.Name","Task.Version","checkpoint.ck2j","checkpoint.l3jo","checkpoint.r1eg","branch.vth2","Randomise.questionnaire.elements.","Question.Key","Response"
"1",1619115448849,"22/04/2021 18:17:28",1619115448755,1,"22/04/2021 19:17:28",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1920x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","BEGIN QUESTIONNAIRE",""
"2",1619115636512,"22/04/2021 18:20:36",1619115636381,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-1","MA"
"3",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-1-quantised","4"
"4",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-2","Strongly Agree"
"5",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-2-quantised","5"
"6",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-3","Strongly Agree"
"7",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-3-quantised","5"
"8",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-4","N"
"9",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-4-quantised","3"
"10",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-5","MD"
"11",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-5-quantised","2"
"12",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-6","MA"
"13",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-6-quantised","4"
"14",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-7","MD"
"15",1619115636590,"22/04/2021 18:20:36",1619115636384,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-7-quantised","2"
"16",1619115636590,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-8","MD"
"17",1619115636590,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-8-quantised","2"
"18",1619115636590,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-9","MA"
"19",1619115636590,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-9-quantised","4"
"20",1619115636590,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-10","Strongly Agree"
"21",1619115636590,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_PositiveExposure-10-quantised","5"
"22",1619115636590,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_NegativeExposure-1","MD"
"23",1619115636675,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_NegativeExposure-2","SD"
"24",1619115636675,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_NegativeExposure-3","SD"
"25",1619115636675,"22/04/2021 18:20:36",1619115636385,1,"22/04/2021 19:20:36",37327,10,"questionnaire-7w8d",NA,12116072,3658538,NA,"complete",NA,"6081b9c7158ce43c6ea99829","computer","Desktop or Laptop","Windows 10","1920x1080","1903x937","Did questionnaires","Attitudes towards babies",7,"Consented","Did tasks","Did questionnaires","English withPartner NoChildren","No","ATB_NegativeExposure-4","SD"
